tool_id	name	description	panel_section_id	panel_section_name
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_allelecallevaluator/chewbbaca_allelecallevaluator/3.3.10+galaxy0	chewBBACA AlleleCallEvaluator	Build an interactive report for allele calling results evaluation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_createschema/chewbbaca_createschema/3.3.10+galaxy0	chewBBACA CreateSchema	Create a gene-by-gene schema	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_downloadschema/chewbbaca_downloadschema/3.3.10+galaxy0	chewBBACA DownloadSchema	Download a schema from Chewie-NS	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_extractcgmlst/chewbbaca_extractcgmlst/3.3.10+galaxy0	chewBBACA ExtractCgMLST	Determine the set of loci that constitute the core genome	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_joinprofiles/chewbbaca_joinprofiles/3.3.10+galaxy0	chewBBACA JoinProfiles	Join allele calling results from different runs	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_nsstats/chewbbaca_nsstats/3.3.10+galaxy0	chewBBACA NSStats	Retrieve basic information about the species and schemas in Chewie-NS	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/chewbbaca_prepexternalschema/chewbbaca_prepexternalschema/3.3.10+galaxy0	chewBBACA PrepExternalSchema	Adapt an external schema to be used with chewBBACA	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/compleasm/compleasm/0.2.6+galaxy3	compleasm	completeness of genome assemblies	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/nml/ectyper/ectyper/2.0.0+galaxy0	ectyper	ectyper is a standalone serotyping module for Escherichia coli. It supports fasta and fastq file formats.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/edta/edta/2.1.0+galaxy0	edta	Whole-genome de-novo TE annotation	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_estimate-energy/smf-v1.7-0_utils-v2.1.1-2	estimate-energy	Estimates whether a certain Segment(Loop) is present and for which delta-G this transistion takes place	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_extract-boxed-sequences/smf-v1.7-0_utils-v2.1.1-1	extract-boxed-sequences	Extracts boxed sequences from bed_input_file which has to be created with 'find-box', part of this utility	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/fargene/fargene/0.1+galaxy1	fargene	Fragmented antibiotic resistance gene identifier	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/fgsea/fgsea/1.8.0+galaxy1	fgsea	- fast preranked gene set enrichment analysis	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_filter-annotated-entries/smf-v1.7-0_utils-v2.1.1-1	filter-annotated-entries	Split entries into two files based on whether they overlap annotations in a bed file	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_filter-by-energy/smf-v1.7-0_utils-v2.1.1-1	filter-by-energy	Split entries over two files based on the estimated energy	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_find-boxes/smf-v1.7-0_utils-v2.1.1-1	find-boxes	Finds all occurances of two given boxes (sequence motifs) within a FASTA file	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/homer_findmotifs/homer_findMotifs/4.11+galaxy3	findMotifs		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/homer_findmotifsgenome/homer_findMotifsGenome/4.11+galaxy3	findMotifsGenome		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/smf_utils_fix-fasta-headers/smf-v1.7-0_utils-v2.1.1-1	fix-fasta-headers	"Replaces all spaces with underscores in the "">..""-sequence headers of a FASTA file"	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gprofiler_convert/gprofiler_convert/0.1.7+galaxy11	gProfiler Convert	converts between various types of namespaces	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gprofiler_gost/gprofiler_gost/0.1.7+galaxy11	gProfiler GOSt	performs functional enrichment analysis of gene lists	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gprofiler_orth/gprofiler_orth/0.1.7+galaxy11	gProfiler Orth	translates gene identifiers between organisms	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gprofiler_random/gprofiler_random/0.1.7+galaxy11	gProfiler Random	generates a gene list	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/gprofiler_snpense/gprofiler_snpense/0.1.7+galaxy11	gProfiler SNPense	maps SNP rs-codes to gene names, chromosomal coordinates and variant effects	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/goseq/goseq/1.50.0+galaxy0	goseq	tests for overrepresented gene categories	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hamronize_tool/hamronize_tool/1.1.4+galaxy0	hAMRonize	Antimicrobial Resistance Analysis Reports into a common data structure	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hamronize_summarize/hamronize_summarize/1.1.4+galaxy0	hamronize summarize:	Concatenate and summarize AMR detection reports	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hicexplorer_hicbuildmatrixmicroc/hicexplorer_hicbuildmatrixmicroc/3.7.6+galaxy1	hicBuildMatrixMicroC	create a contact matrix	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmalign/hmmer_hmmalign/3.4+galaxy0	hmmalign	align sequences to a profile HMM	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmbuild/hmmer_hmmbuild/3.4+galaxy0	hmmbuild	Build a profile HMM from an input multiple alignment	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmconvert/hmmer_hmmconvert/3.4+galaxy0	hmmconvert	convert profile file to a HMMER format	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmemit/hmmer_hmmemit/3.4+galaxy0	hmmemit	sample sequence(s) from a profile HMM	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmfetch/hmmer_hmmfetch/3.4+galaxy0	hmmfetch	retrieve profile HMM(s) from a file	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmscan/hmmer_hmmscan/3.4+galaxy0	hmmscan	search protein sequence(s) against a protein profile database	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_hmmsearch/hmmer_hmmsearch/3.4+galaxy0	hmmsearch	search profile(s) against a sequence database	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_jackhmmer/hmmer_jackhmmer/3.4+galaxy0	jackhmmer	iteratively search a protein sequence against a protein database (PSIBLAST-like)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/krocus/krocus/1.0.1	krocus	Multi-locus sequence typing (MLST) from uncorrected long reads	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/legsta/legsta/0.5.1+galaxy2	legsta	Legionella pneumophila sequence based typing	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/lorikeet_spoligotype/lorikeet_spoligotype/20+galaxy0	lorikeet spoligotyping	M. tuberculosis DNA fingerprinting	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/tgac/miranda/miranda/3.3a	miRanda	finds potential target sites for miRNAs in genomic sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/multigsea/multigsea/1.12.0+galaxy1	multiGSEA	GSEA-based pathway enrichment analysis for multi-omics data	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/netboxr/netboxr/1.6.0	netboxr	enables automated discovery of biological process modules by network analysis.	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_nhmmer/hmmer_nhmmer/3.4+galaxy0	nhmmer	search a DNA model or alignment against a DNA database (BLASTN-like)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_nhmmscan/hmmer_nhmmscan/3.4+galaxy0	nhmmscan	search DNA sequence(s) against a DNA profile database	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/pharokka/pharokka/1.3.2+galaxy0	pharokka	Rapid standardised annotation tool for bacteriophage genomes and metagenomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/hmmer_phmmer/hmmer_phmmer/3.4+galaxy0	phmmer	search a protein sequence against a protein database (BLASTP-like)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/progressivemauve/progressivemauve/2015_02_13.1	progressiveMauve	constructs multiple genome alignments	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/peterjc/tmhmm_and_signalp/Psortb/0.0.10	psortb	Determines sub-cellular localisation of bacterial/archaeal protein sequences	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/homer_scanmotifgenomewide/homer_scanMotifGenomeWide/4.11+galaxy3	scanMotifGenomeWide		annotation	Annotation
toolshed.g2.bx.psu.edu/repos/yhoogstrate/segmentation_fold/segmentation_fold/0.2.0	segmentation-fold	RNA-Folding including predefined segments including K-turns	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/seq2hla/seq2hla/2.3+galaxy0	seq2HLA	HLA genotype and expression from RNA-seq	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/nml/sistr_cmd/sistr_cmd/1.1.3+galaxy0	sistr_cmd	Salmonella In Silico Typing Resource command-line tool for serovar prediction	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/socru/socru/2.1.7	socru	Calculate the order and orientation of complete bacterial genomes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/staramr/staramr_search/0.11.1+galaxy0	staramr	Scans genome assemblies against the ResFinder, PlasmidFinder, and PointFinder databases searching for AMR genes	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/aragorn_trna/aragorn_trna/1.2.41	tRNA and tmRNA	prediction (Aragorn)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/trna_prediction/aragorn_trna/0.6	tRNA and tmRNA	prediction (Aragorn)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/trna_prediction/trnascan/0.4	tRNA prediction	(tRNAscan)	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/bgruening/trnascan/trnascan/2.0.12	tRNA prediction	using tRNAscan, EufindtRNA & tRNA covariance models	annotation	Annotation
toolshed.g2.bx.psu.edu/repos/iuc/aegean_canongff3/aegean_canongff3/0.16.0	 AEGeAn CanonGFF3	pre-process GFF3 files, removing all features not directly related to protein-coding genes	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/abyss/abyss-pe/2.3.10+galaxy0	ABySS	de novo sequence assembler	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/aegean_gaeval/aegean_gaeval/0.16.0	AEGeAn GAEVAL	compute coverage and integrity scores for gene models using transcript alignments.	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/aegean_locuspocus/aegean_locuspocus/0.16.0	AEGeAn LocusPocus	calculate locus coordinates for the given gene annotation	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/aegean_parseval/aegean_parseval/0.16.0	AEGeAn ParsEval	compare two sets of gene annotations for the same sequence.	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/peterjc/mira_assembler/mira_assembler/0.0.11	Assemble with MIRA v3.4	Takes Sanger, Roche, Illumina, and Ion Torrent data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/biscot/biscot/2.3.3+galaxy0	BiSCoT	Bionano scaffolding correction	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/bionano_scaffold/bionano_scaffold/3.7.0+galaxy3	Bionano Hybrid Scaffold	automates the scaffolding process	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/blobtoolkit/blobtoolkit/4.0.7+galaxy2	BlobToolKit	Genome Assembly QC	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/crispr_recognition_tool/crispr_recognition_tool/1.2.0	CRISPR Recognition Tool	(CRT)	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/galaxy-australia/cactus_cactus/cactus_cactus/2.7.1+galaxy0	Cactus	whole-genome multiple sequence alignment	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/galaxy-australia/cactus_export/cactus_export/2.7.1+galaxy0	Cactus: export	whole-genome multiple sequence alignment to other formats	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/canu/canu/2.3+galaxy0	Canu assembler	Assembler optimized for long error-prone reads such as PacBio, Oxford Nanopore	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/ecology/aligned_to_consensus/aligned_to_consensus/1.0.0	Consensus sequence from aligned FASTA		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.5.1+galaxy0	Create assemblies with Unicycler	pipeline for bacterial genomes	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/disco/disco/1.2.1	DISCO	to assemble metagenomics data using an overlap-layout-consensus (OLC) approach	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/erga_ear/make_ear/24.10.15+galaxy0	ERGA Assembly Reporting Tool (EAR)	A tool to compile assembly reports and statistics from assembly pipeline	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/crs4/edena/edena_ass_wrapper/0.3	Edena (assembling)		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/crs4/edena/edena_ovl_wrapper/0.3	Edena (overlapping)		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/maciek/fbqs_integrator/fbqs_integrator/1.0.0	FBQS Integrator	Merge quality-checked outputs from Fastp, Bracken and QUAST into consolidated STARAMR Excel report	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/fastk_fastk/fastk_fastk/1.1.0+galaxy2	FastK	A k-mer counter for high-quality assembly datasets	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/fastk_histex/fastk_histex/1.1.0+galaxy3	FastK Histex	Reads and displays a kmer histogram produced by FastK	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/fastk_logex/fastk_logex/1.1.0+galaxy5	FastK Logex	Performs binary operations on the generated Ktab files from FASTK suite	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/bellerophon/bellerophon/1.0+galaxy1	Filter and merge	chimeric reads from Arima Genomics	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye/2.9.6+galaxy0	Flye	de novo assembler for single molecule sequencing reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/genomescope/genomescope/2.1.0+galaxy0	GenomeScope	reference-free genome profiling	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/getorganelle/get_annotated_regions_from_gb/0.1.0	Get annotated regions from genbank files (getorganelle)		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/getorganelle/get_organelle_from_reads/1.7.7.1+galaxy0	Get organelle from reads		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/hapog/hapog/1.3.8+galaxy0	Hapo-G	genome polishing	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/hifiasm/hifiasm/0.25.0+galaxy1	Hifiasm	haplotype-resolved de novo assembler for PacBio Hifi reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/galaxy-australia/hifiasm_meta/hifiasm_meta/0.3.1+galaxy0	Hifiasm_meta	for metagenome assembly using Hifi reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/hypo/hypo/1.0.3+galaxy0	HyPo	super fast and accurate polisher for long read genome assemblies	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/idba_hybrid/idba_hybrid/1.1.3	IDBA-HYBRID	Iterative de Bruijn Graph Assembler for hybrid sequencing data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/idba_tran/idba_tran/1.1.3+galaxy0	IDBA-TRAN	Iterative de Bruijn Graph Assembler for transcriptome data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/idba_ud/idba_ud/1.1.3+galaxy1	IDBA-UD	Iterative de Bruijn Graph Assembler for data with highly uneven depth	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/links/links/2.0.1+galaxy+1	LINKS	- scaffold genome assemblies with long reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/colibread_lordec/lordec/0.9+galaxy3	Lordec	is a set a programs for correcting sequencing errors in PacBio reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/megahit/megahit/1.2.9+galaxy2	MEGAHIT	for metagenomics assembly	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/mitobim/mitobim/1.9.1	MITObim	mitochondrial baiting and iterative mapping	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/merqury/merqury/1.3+galaxy4	Merqury	evaluate the assembly quality	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/merqury/merquryplot/1.3+galaxy4	Merqury histogram plot	evaluate the assembly quality	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl/meryl/1.3+galaxy6	Meryl	a genomic k-mer counter and sequence utility	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_arithmetic_kmers/meryl_arithmetic_kmers/1.4.1+galaxy0	Meryl	apply arithmetic operations to k-mer counts	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_count_kmers/meryl_count_kmers/1.4.1+galaxy0	Meryl	count k-mers	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_filter_kmers/meryl_filter_kmers/1.4.1+galaxy0	Meryl	filter k-mers	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_groups_kmers/meryl_groups_kmers/1.4.1+galaxy0	Meryl	apply operations on k-mer databases	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_histogram_kmers/meryl_histogram_kmers/1.4.1+galaxy0	Meryl	get k-mer frequency histogram	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_print/meryl_print/1.4.1+galaxy0	Meryl	get k-mer counts	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/meryl_trio_mode/meryl_trio_mode/1.4.1+galaxy0	Meryl	build hap-mers databases for trios	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/minia/minia/3.2.6	Minia	Short-read assembler based on a de Bruijn graph	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/mitohifi/mitohifi/3.2.3+galaxy0	MitoHiFi	Assemble mitogenomes from Pacbio HiFi reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/novoplasty/novoplasty/4.3.1+galaxy0	NOVOplasty	de novo assembler for short circular genomes	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/nextdenovo/nextdenovo/2.5.0+galaxy0	NextDenovo	string graph-based de novo assembler for long reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pairtools_stats/pairtools_stats/1.1.3+galaxy6	Pairtools Stats	Calculates pairs statistics for input pairs and pairsam files.	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pairtools_dedup/pairtools_dedup/1.1.3+galaxy6	Pairtools dedup	Find and remove PCR/optical duplicates	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pairtools_parse/pairtools_parse/1.1.3+galaxy6	Pairtools parse	Find ligation pairs in alignments and create pairs.	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pairtools_sort/pairtools_sort/1.1.3+galaxy6	Pairtools sort	Sort a 4dn pairs/pairsam file	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pairtools_split/pairtools_split/1.1.3+galaxy6	Pairtools split	Split a pairsam file into pairs and SAM/BAM	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pretext_map/pretext_map/0.1.9+galaxy1	PretextMap	converts SAM or BAM files into genome contact maps	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pretext_graph/pretext_graph/0.0.9+galaxy0	Pretextgraph	Embed bedgraph formatted data inside a Pretext contact map.	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/purge_dups/purge_dups/1.2.6+galaxy0	Purge overlaps	and haplotigs in an assembly based on read depth (purge_dups)	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/5.3.0+galaxy1	Quast	Genome assembly Quality	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/racon/racon/1.5.0+galaxy1	Racon	Consensus module for raw de novo DNA assembly of long uncorrected reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/ragtag/ragtag/2.1.0+galaxy1	RagTag	reference-guided scaffolding of draft genomes	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/raven/raven/1.8.3+galaxy0	Raven	De novo assembly of Oxford Nanopore Technologies data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/reago/reago/1.1+galaxy1	Reago	to assemble rRNA	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/nml/refseq_masher/refseq_masher_contains/0.1.2	RefSeq Masher Contains	Find NCBI RefSeq Genomes contained in your sequences	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/nml/refseq_masher/refseq_masher_matches/0.1.2	RefSeq Masher Matches	Find closest matching NCBI RefSeq Genomes to your sequences	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/salsa/salsa/2.3+galaxy5	SALSA	scaffold long read assemblies with Hi-C	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/crs4/sopra/sopra_wpc/0.1	SOPRA with prebuilt contigs	for Illumina libraries	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/nml/spades/spades/4.2.0+galaxy0	SPAdes	genome assembler for genomes of regular and single-cell projects	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/crs4/ssake/ssake/0.0.10	SSAKE	short DNA sequences assembler	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/shasta/shasta/0.6.0+galaxy0	Shasta	De novo assembly of long read sequencing data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill/1.4.2+galaxy0	Shovill	Faster SPAdes assembly of Illumina reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/galaxy-australia/smudgeplot/smudgeplot/0.2.5+galaxy3	Smudgeplot	inference of ploidy and heterozygosity structure using whole genome sequencing	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/syri/syri/1.7.1+galaxy0	SyRI	Synteny and Rearrangement Identifier	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/tgsgapcloser/tgsgapcloser/1.0.3+galaxy0	TGS-GapCloser	fills the N-gap of error-prone long reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trimns/trimns/0.1.0	TrimN		assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trycycler_cluster/trycycler_cluster/0.5.5	Trycycler cluster	cluster the contigs of your input assemblies into per-replicon groups	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trycycler_consensus/trycycler_consensus/0.5.5	Trycycler consensus	generate a consensus contig sequence for each cluster	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trycycler_partition/trycycler_partition/0.5.5	Trycycler partition	assign the reads to the clusters	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trycycler_reconcile_msa/trycycler_reconcile_msa/0.5.5	Trycycler reconcile/msa	reconcile the contigs within each cluster and perform a multiple sequence alignment	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/trycycler_subsample/trycycler_subsample/0.5.5	Trycycler subsample	make a maximally-independent read subsets of an appropiate depth for your genome	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvetoptimiser/2.2.6	VelvetOptimiser	Automatically optimize Velvet assemblies	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/wtdbg/wtdbg/2.5+galaxy0	WTDBG2	Fast de novo sequence assembler for long noisy reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/yahs/yahs/1.2a.2+galaxy3	YAHS	yet another HI-C scaffolding tool	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_biosyntheticspades/spades_biosyntheticspades/4.2.0+galaxy0	biosyntheticSPAdes	biosynthetic gene cluster assembly	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/artbio/cap3/cap3/2.0.0	cap3	Sequence Assembly tool	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_coronaspades/spades_coronaspades/4.2.0+galaxy0	coronaSPAdes	SARS-CoV-2 de novo genome assembler	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/minced/minced/0.1.5	detect CRISPR sequences	(minced)	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/gfastats/gfastats/1.2.0+galaxy0	gfastats	the swiss army knife for genome assembly	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/instagraal/instagraal/0.1.6+galaxy0	instaGRAAL	Large genome reassembly based on Hi-C data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/nml/metaspades/metaspades/4.2.0+galaxy0	metaSPAdes	metagenome assembler	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_metaplasmidspades/spades_metaplasmidspades/4.2.0+galaxy0	metaplasmidSPAdes	extract and assembly plasmids from metagenomic data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_metaviralspades/spades_metaviralspades/4.2.0+galaxy0	metaviralSPAdes	extract and assembly viral genomes from metagenomic data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/miniasm/miniasm/0.3_r179+galaxy1	miniasm	Ultrafast de novo assembly for long noisy reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/bgruening/minipolish/minipolish/0.2.0+galaxy0	minipolish	polishing miniasm assemblies	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/necat/necat/0.0.1_update20200803+galaxy0	necat	Error correction and de-novo assembly for ONT Nanopore reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/pilon/pilon/1.20.1	pilon	An automated genome assembly improvement and variant detection tool	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_plasmidspades/spades_plasmidspades/4.2.0+galaxy0	plasmidSPAdes	extract and assembly plasmids from WGS data	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/rnaquast/rna_quast/2.3.0+galaxy1	rnaQUAST	A quality assessment tool for De Novo transcriptome assemblies	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/rnaspades/rnaspades/4.2.0+galaxy0	rnaSPAdes	de novo transcriptome assembler	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/iuc/spades_rnaviralspades/spades_rnaviralspades/4.2.0+galaxy0	rnaviralSPAdes	de novo assembler for transcriptomes, metatranscriptomes and metaviromes	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velvetg/1.2.10.2	velvetg	Velvet sequence assembler for very short reads	assembly	Assembly
velvetg	velvetg	Velvet sequence assembler for very short reads	assembly	Assembly
toolshed.g2.bx.psu.edu/repos/devteam/velvet/velveth/1.2.10.3	velveth	Prepare a dataset for the Velvet velvetg Assembler	assembly	Assembly
velveth	velveth	Prepare a dataset for the Velvet velvetg Assembler	assembly	Assembly
